iati-identifier,other-identifier,other-identifier_owner-name,other-identifier_owner-ref,hierarchy,titles_lang,titles,default-currency,default-language,last-updated-datetime,transaction_value_currencies,commitment,disbursement,reimbursement,expenditure,incoming-funds,loan-repayment,interest-repayment,transaction_values,transaction-value_value-dates,transaction-types,transaction-type_codes,transaction-dates,transaction-date_iso-dates,transaction_provider-org_refs,transaction_provider-orgs,transaction_provider-org_provider-activity-ids,transaction_receiver-org_refs,transaction_receiver-orgs,transaction_receiver-org_receiver-activity-ids,transaction_description_langs,transaction_descriptions,transaction_flow-type_codes,transaction_flow-type_langs,transaction_flow-types,transaction_aid-type_codes,transaction_aid-type_langs,transaction_aid-types,transaction_finance-type_codes,transaction_finance-type_langs,transaction_finance-types,transaction_tied-status_codes,transaction_tied-status_langs,transaction_tied-statuses,transaction_disbursement-channel_codes,transaction_disbursement-channel_langs,transaction_disbursement-channels,reporting-org_ref,reporting-org_type,reporting-org_lang,reporting-org,participating-org_refs_funding,participating-org_types_funding,participating-org_langs_funding,participating-orgs_funding,participating-org-refs_extending,participating-org-types_extending,participating-org_langs_extending,participating-orgs_extending,participating-org-refs_accountable,participating-org-types_accountable,participating-org_langs_accountable,participating-orgs_accountable,participating-org_refs_implementing,participating-org_types_implementing,participating-org_langs_implementing,participating-orgs_implementing,recipient-country_codes,recipient-country_langs,recipient-countries,recipient-country_percentages,recipient-region_codes,recipient-region_langs,recipient-regions,recipient-region_percentages,description_types,description_langs,descriptions,document-link_urls,document-link_formats,document-link_languages,document-link_category_codes,document-link_category_langs,document-link_categories,document-link_title_langs,document-link_titles,start-planned_iso-date,start-planned_lang,start-planned,start-actual_iso-date,start-actual_lang,start-actual,end-planned_iso-date,end-planned_lang,end-planned,end-actual_iso-date,end-actual_lang,end-actual,activity-website,activity-status_code,activity-status_lang,activity-status,collaboration-type_code,collaboration-type_lang,collaboration-type,conditions-attached,condition_types,condition_langs,conditions,sector_langs,sectors,sector_vocabularies,sector_codes,sector_percentages,policy-marker_langs,policy-markers,policy-marker_vocabularies,policy-marker_significance,policy-marker_codes,contact-info_organisation,contact-info_person-name,contact-info_person-name,contact-info_email,contact-info_mailing-address,default-aid-type_code,default-aid-type_lang,default-aid-type,default-finance-type_code,default-finance-type_lang,default-finance-type,default-flow-type_code,default-flow-type_lang,default-flow-type,default-tied-status_code,default-tied-status_lang,default-tied-status,related-activity_refs,related-activity_types,related-activity_langs,related-activities,budget_types,budget_period_starts,budget_period-start_iso-dates,budget_period-ends,budget_period-end_iso-dates,budget_values,budget_value_value-dates,budget_value_currencies,planned-disbursement_updated,planned-disbursement_period_starts,planned-disbursement_period-start_iso-dates,planned-disbursement_period-ends,planned-disbursement_period-end_iso-dates,planned-disbursement_values,planned-disbursement_value_value-dates,planned-disbursement_value_currencies,location_percentages,location-type_codes,location-type_langs,location-types,location_name_langs,location_names,location_description_langs,location_descriptions,location_administrative,location_administrative_country,location_administrative_admin1,location_administrative_admin2,location_coordinates_latitudes,location_coordinates_longitudes,location_coordinates_precisions,location_gazetteer-entries, location_gazetteer-entry_gazetteer-refs,result_types,result_title_langs,result_titles,result_description_langs,result_descriptions,result_indicator_title_langs,result_indicator_titles,result_indicator_description_langs,result_indicator_descriptions,result_indicator_measures,result_indicator_baselines,result_indicator_baseline_years,result_indicator_baseline_values,result_indicator_targets,result_indicator_target_years,result_indicator_target_values,result_indicator_actuals,result_indicator_actual_years,result_indicator_actual_values,legacy-data_names,legacy-data_values,legacy-data_iati-equivalents,legacy-data
"NL-KVK-41188664-ET-ACPF","","","","","","African Child Policy Forum","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"641549","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","","","African Child Policy Forum","ET","","Ethiopia","","298","","","","","","ACPF aims  to contribute to improved knowledge on children in Africa, monitor and report progress,  identify policy options, provide a platform for dialogue, collaborate with governments, intergovernmental organisations and civil society in the development and implementation of effective pro-child policies and programmes, and also promote a common voice for children in and out of Africa. One essential product of ACPF is the African Report on Child Wellbeing published everytwo year, which also includes the Child-friendliness index. All activities of ACPF is conducted from the ACPF headquarter in Addis Ababa, Ethiopia.","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","641549","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-AFRI-PAN","","","","","","Support to Parenting Africa Network","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"161600","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 60","","DGIS; OSEIA","","","","","","","","","","","","Parenting Africa Network; ","","","","","298","","","","","","Parenting in Africa Network - PAN - is a network of organizations, individuals and institutions with an interest to promote skilful parenting practices in Africa, for the overall wellbeing of children and families. ICS together with PAN work to  facilitate and enable member organizations address policies and practices within their communities, through specific parenting issues that affect African families.","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","161600","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KENY-CLAN","","","","","","Support to Child Legal Action Network ","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"61886","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Child Legal Action Network","KE","","Kenya","","","","","","","","The Children's Legal Action Network  - CLAN - is a Kenyan NGO established  to promote access to justice for children.  CLANs focus is to provide legal aid and representation, victim support, and alternative dispute resolution mechanisms to children and their families. Through research and implementation experiences, CLAN also contributes to law and legal reform in Kenya.","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","61886","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-SST-CP","","","","","","Community Poultry Project","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"51884","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Sor Sor trung","KH","","Cambodia","","","","","","","","In Oddar Meanchey province poultry production is one of the many activities in diversified rural farming systems and more than half of all Cambodian households keep poultry. Revenues from poultry only represent very small proportion of total household revenues, but women accrue most of this income, which allows them to cover household and education expenses. Housing for birds, although very basic in some cases, can also be nonexistent. Birds sleep in trees and natural sheds at night. The cost of inputs can be a small cash expense for the purchase of day-old chicks (in case own-stock hatching is not pursued) and some complementary feedstuffs. Birds are sold live locally or at farm gates, were motorized traders and middlemen purvey supplies to take to markets. Poultry are thus also an important source of cash income for low-income households. The project aims for the production and improvement of potentially locally bred chickens through community entrepreneurship development and value chain development. It is composed of four components: 1. capacity strengthening of the contract growing system to deliver inputs and veterinary services for poultry, 2. organization of the beneficiaries into enterprises by 3. overall training of stakeholders, 4. equipment and infrastructure development.","","","","","","","","","","","","2011-12-15","","Start Actual","2013-12-31","","End Planned","","","","","3","","Project Completion","","","","","","","","","Business and Other Services","DAC","250","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","32239","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TASI-ORMAME","","","","","","Orkonerai Mass Media Ltd.","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"50823","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","ORMAME","TZ","","Tanzania","","","","","","","","Orkonerei Mass Media Ltd - ORMAME-  is a company that has been in operations since 2009 following its formation to address sustainability in provision of media services among pastoralists communities in Northern Tanzania. Its core activities are community radio broadcasting, and video production/documentation. The objective was  - and still remains - to advocate pastoralists interest against marginalization in development processes. It is the duty of the radio to promote social cohesion and raise awareness and stir up involvement and participation of the Pastoralists Community in policy, legal, economic and environmental conservation processes. ORMAME remains the only Pastoralists Community media company in Northern Tanzania. It has been quite successful in raising awareness in the community and especially in stimulating an urge for people to seek for information. The use of Maa Language is providing an opportunity for most People, who do not understand the conventional languages used in most media outlets  -radio, TV and prints- to be informed. As a result, over the years, ORMAME  - especially its radio broadcasting service has encouraged high enrollment to both primary and secondary schools for many pastoralists children. It has also helped in coordinating and organizing local economic development initiatives and facilitated community participation, inclusion and engagement in a wide range of community development issues.","","","","","","","","","","","","2011-01-01","","Start Actual","2013-07-01","","End Actual","","","","","4","","Post Completion","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","50823","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-KENY-REEP","","","","","","Support to Rural  Education and Economic Enhancement Program (REEP)","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"35363","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Rural  Education and Economic Enhancement Program (REEP)","KE","","Kenya","","","","","","","","Rural Education and Economic Enhancement Program - REEP - strives to improve the quality of life for vulnerable groups in Western Kenya. Within this project ICS and REEP work together to strengthen families to provide adequate care and protection to children through skilful parenting, psychosocial support  and legal protection interventions. REEP also aims to strengthen the capacity of local child protection actors for better service delivery. ","","","","","","","","","","","","2011-01-01","","Start Actual","2015-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","35363","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-MPB","","","","","","Multi-Purpose Banks","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"13737","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 70","","DGIS; Private Donations","","","","","","","","","","22","","ICS Cambodia; ","KH","","Cambodia","","","","","","","","The project aims to develop two successful rice bank initiatives in Oddar Meanchey into multi-purpose banks, offering a range of affordable credit and agricultural products to an increased number of members.  In Oddar Meanchey, rice farming is the main source of livelihood for most families.  However, its profitability is heavily compromised by traditional agricultural practices, the absence of affordable credit products and poor marketing of produce.  This affects both food security and household income in the province.  By making available affordable quality farm inputs, credit facilities (cash and in kind) and improved market opportunities, these enterprises help smallholder farmers to improve their productivity and profitability, contributing to their income and food security.  Besides diversifying their activities, the multi-purpose banks will provide 2000 households and farmers with access to these products and services by expanding their operations to thirty villages.  By generating sufficient income, the enterprises remain financially sustainable and will be able to use their profits for other community investments.  In order for the banks to realize these goals, ICS will support the process of expansion and strengthen the managerial and administrative capacities of the enterprises and their management committees. ","","","","","","","","","","","","2011-07-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Government and civil society, general","DAC","151","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","19612","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-TANZ-MKOMBOZI","","","","","","Mkombozi Child Protection Program","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"58290","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Mkombozi","TZ","","Tanzania","","","","","","","","Mkombozi strives to be the first line of defense for the vulnerable children in the Moshi and Arusha communities in Tanzania. Mkombozi aims to support most vulnerable children and youth by providing direct services such as housing, health services, child protection and education, as well as research and advocacy on childrens rights and protection.","","","","","","","","","","","","2011-01-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Other social infrastructure and services","DAC","160","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","58290","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-SST-SM","","","","","","Social Sanitation Marketing","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"40778","2013-12-31","","Disbursement","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10","","DGIS","","","","","","","","","","22","","Sor Sor trung","KH","","Cambodia","","","","","","","","Due to the lack of developed sanitation facilities most Cambodian villagers use the open defecation method.  This results in untreated human waste near homes. The lack of sanitation facilities in rural areas contributes to Cambodia's under-five mortality rate being among the highest in Asia. This project aims to improve rural sanitation by marketing unsubsidized toilets.  Sor Sor Trung promotes this idea through a social enterprise approach. The organization works to establish local sanitation agents within communities.  This innovation will spread the demand for such positions and will raise income for families as well. The project will train local entrepreneurs - small businessmen - how to build good and affordable latrines  called The Easy Latrine. In addition to building the latrine structure itself this training will involve many different construction efforts including the production of toilet rings and cement slabs.  Working hand in hand with the community sanitation agents will take models of the latrines into villages.  In addition to marketing promoting and selling the finished product at village meetings and door to door the sanitation agents will also offer education concerning proper sanitation and hygiene.  The Easy Latrine will be offered to households at an affordable price.  Families can purchase the Easy Latrine in cash or on an installment basis with little interest involved.","","","","","","","","","","","","2011-12-15","","Start Actual","2013-12-31","","End Planned","","","","","3","","Project Completion","","","","","","","","","Business and Other Services","DAC","250","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","10583","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NL-KVK-41188664-CAOM-CPE","","","","","","Community Pig Farm Enterprise","EUR","en","2014-08-28T18:14:16","EUR ",0,0,0,0,0,0,0,"15910","2013-12-31","","Expenditure","","","","","","","","","","","","","","","","","","","","","","","","","","NL-KVK-41188664","INGO","","ICS","NL-1","10; 70","","DGIS; Private Donations","","","","","","","","","","22","","ICS Cambodia; ","KH","","Cambodia","","","","","","","","Many Cambodian women- in the attempt to raise additional income for the family- obtain micro-credit loans for raising pigs.  In rural communities this venture is a very common way for families to raise household income.  However not all pig-raising efforts are successful.  The Community Pig Farm Enterprise aims to develop a community pig-raising model centered on raising household income and skills.  The model will offer a range of services such as high quality piglets training on commercial pig-raising and marketing veterinary support piglet dispersal and a contract growing plan in Oddar Meanchey province.  The project intends to invest in the pig-raising economy and support the pork value chain.  The project will be primarily focused in Oddar Meanchey but will also include neighboring provinces for market.  This will be implemented through the active participation of selected local pig raisers in Oddar Meanchey and the contract growing model will enable them to create links in the local market. The project aim is to target 110 contract growers. These are small farmers - specifically women - and forty pork retailers and three slaughter houses in Oddar Meanchey and the neighboring provinces.  ","","","","","","","","","","","","2011-07-01","","Start Actual","2014-12-31","","End Planned","","","","","2","","Implementation","","","","","","","","","Business and Other Services","DAC","250","100","","","","","","","info@ics.nl","+310333030250","info@ics.nl","Smallepad 32, 3811 MG Amersfoort, The Netherlands","","","","","","","","","","","","","","","","","","","2013-01-01","","2013-12-31","22413","2013-01-01","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
